ICCNET2_AS2_AS2_RP_SRV_SND_DEA,ICCNET2_AS2,ICCNET2_AS2_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:vanconnect.easylink.com:5080,
INPEX_AS2_QA_AS2_RP_CLT_RCV_DEA,INPEX_AS2_QA,INPEX_AS2_QA_AS2_RP_CLT_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 client,./cert/Axway_Linux.cer,,
INTEL_AS2_MKCT_AS2_RP_CLT_RCV_DEA,INTEL_AS2_MKCT,INTEL_AS2_MKCT_AS2_RP_CLT_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 client,./cert/Axway_Linux.cer,,
CAPGEMINI_FINLAND_STOCKMANN_AS2_RP_SRV_SND_DEA,CAPGEMINI_FINLAND_STOCKMANN,CAPGEMINI_FINLAND_STOCKMANN_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:edicap.service.capgemini.fi:80,/stockmann/as2-test
14060704780001000_AS2S_RP_SRV_SND_DEA_2,14060704780001000_2,14060704780001000_AS2S_RP_SRV_SND_DEA_2,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:b2btest.apple.com:4444,/invoke/wm.EDIINT/receive
IBMGLV12_AS2S_RP_SVR_RCV_DEA,IBMGLV12,IBMGLV12_AS2S_RP_SVR_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:connect-preprod.ibm.com:443,/b2b/dsg/Schenker
O0013000463HOFFWZMUZJV_OFTP2S_DEA,O0013000463HOFFWZMUZJV,O0013000463HOFFWZMUZJV_OFTP2S_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway OFTP,./cert/Axway_Linux.cer,TCP:oftp2.hoffmann-group.com:6619,
crossgate_AS2_RP_SRV_SND_DEA,crossgate,crossgate_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:www.bipstaging.com:443,/test/ediint-alps.cgi
SEDEB2B_AS2_AS2_RP_SRV_SND_DEA,SEDEB2B_AS2,SEDEB2B_AS2_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:easerver.sedeb2b.com:9013,/AS2Server
O000200000410314876000001_OFTP2S_DEA,O000200000410314876000001,O000200000410314876000001_OFTP2S_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway OFTP,./cert/Axway_Linux.cer,TCP:oftp2.plasticomnium.com:6619,
