ICCNET2_AS2_AS2_RP_SRV_SND_DEA,ICCNET2_AS2,ICCNET2_AS2_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:vanconnect.easylink.com:5080,SUCCESS,
INPEX_AS2_QA_AS2_RP_CLT_RCV_DEA,INPEX_AS2_QA,INPEX_AS2_QA_AS2_RP_CLT_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 client,./cert/Axway_Linux.cer,,SUCCESS,
INTEL_AS2_MKCT_AS2_RP_CLT_RCV_DEA,INTEL_AS2_MKCT,INTEL_AS2_MKCT_AS2_RP_CLT_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 client,./cert/Axway_Linux.cer,,SUCCESS,
CAPGEMINI_FINLAND_STOCKMANN_AS2_RP_SRV_SND_DEA,CAPGEMINI_FINLAND_STOCKMANN,CAPGEMINI_FINLAND_STOCKMANN_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:edicap.service.capgemini.fi:80,/stockmann/as2-testSUCCESS,
14060704780001000_AS2S_RP_SRV_SND_DEA_2,14060704780001000_2,14060704780001000_AS2S_RP_SRV_SND_DEA_2,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:b2btest.apple.com:4444,/invoke/wm.EDIINT/receiveSUCCESS,
IBMGLV12_AS2S_RP_SVR_RCV_DEA,IBMGLV12,IBMGLV12_AS2S_RP_SVR_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:connect-preprod.ibm.com:443,/b2b/dsg/SchenkerSUCCESS,
O0013000463HOFFWZMUZJV_OFTP2S_DEA,O0013000463HOFFWZMUZJV,O0013000463HOFFWZMUZJV_OFTP2S_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway OFTP,./cert/Axway_Linux.cer,TCP:oftp2.hoffmann-group.com:6619,SUCCESS,
crossgate_AS2_RP_SRV_SND_DEA,crossgate,crossgate_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:www.bipstaging.com:443,/test/ediint-alps.cgiSUCCESS,
PEGATRON_AS2_RP_SRV_SND_DEA,PEGATRON,PEGATRON_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:b2b5.pegatroncorp.com:443,/invoke/wm.EDIINT/receiveSUCCESS,
avery_dennison_FTP_RP_SRV_RCV_DEA,,avery_dennison_FTP_RP_SRV_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway FTP client,./cert/Axway_Linux.cer,,/FTP_SRV_RCV_VFD/avery_dennisonNoScope,
SEDEB2B_AS2_AS2_RP_SRV_SND_DEA,SEDEB2B_AS2,SEDEB2B_AS2_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:easerver.sedeb2b.com:9013,/AS2ServerSUCCESS,
O000200000410314876000001_OFTP2S_DEA,O000200000410314876000001,O000200000410314876000001_OFTP2S_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway OFTP,./cert/Axway_Linux.cer,TCP:oftp2.plasticomnium.com:6619,SUCCESS,
Lobster_scm_eFreightTest_AS2S_RP_SRV_SND_DEA,Lobster_scm_eFreightTest,Lobster_scm_eFreightTest_AS2S_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:efreight-test.fra.scm.lobster.de:8443,/partner/AS2RetrieveSUCCESS,
sdsarp_SFTP_RP_SRV_RCV_DEA,,sdsarp_SFTP_RP_SRV_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway SFTP client,./cert/Axway_Linux.cer,,/SFTP_SRV_RCV_INT_VFD/sds/arpNoScope,
000000CHANGEME_AS2_RP_CLT_RCV_DEA,129,000000CHANGEME_AS2_RP_CLT_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 client,./cert/Axway_Linux.cer,,SUCCESS,
CH01QPI_AS2S_RP_SRV_SND_DEA,CH01QPI,CH01QPI_AS2S_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:test-edi.straumann.com:443,/AS2/066eb139-e3e8-4043-a292-c6e0f0c0f937/0069/SUCCESS,
ECOMAS2_AS2_RP_SRV_SND_DEA,ECOMAS2,ECOMAS2_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:ecomweb1.ecomtoday.com:2080,/ipnet/as2SUCCESS,
16181989351SDDT_AS2_RP_SRV_SND_DEA,16181989351SDDT,16181989351SDDT_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:192.240.12.50:80,/stagedhttp/TESTSUCCESS,
XYLEMAS2_TEST_AS2_RP_CLT_RCV_DEA,XYLEMAS2_TEST,XYLEMAS2_TEST_AS2_RP_CLT_RCV_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 client,./cert/Axway_Linux.cer,,SUCCESS,
WTCWMTAS2_AS2_SRV_SND_DEA,WTCWMTAS2,WTCWMTAS2_AS2_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:as2.wintecind.com:2080,/ipnet/as2SUCCESS,
ZZAPLUNET_AS2_RP_SRV_SND_DEA,ZZAPLUNET,ZZAPLUNET_AS2_RP_SRV_SND_DEA,test@axway.com,8588008860,GENERAL_RP,Gateway AS2 server,./cert/Axway_Linux.cer,TCP:interchange-stg.apl.com:4090,/as2/interfaceSUCCESS,
